Input_Degree,Input_Weight,Control_Degree,Control_Weight,MinW
2,3,5,3,12
2,3,5,3,12
2,3,5,5,15
2,3,5,5,11
2,3,5,5,11
2,3,5,5,15
3,3,4,3,12
3,3,4,3,11
3,3,4,3,11
3,3,4,3,12
4,3,3,3,11
4,3,3,3,11
4,3,3,3,11
4,3,3,3,11
5,3,2,3,10
5,3,2,3,10
5,5,2,3,10
5,5,2,3,10
5,5,2,3,10
5,5,2,3,10
3,3,5,3,13
3,3,5,3,15
3,3,5,5,11
3,3,5,5,14
3,3,5,5,12
3,3,5,5,15
3,3,5,3,15
3,3,5,3,13
3,3,5,5,15
3,3,5,5,12
3,3,5,5,14
3,3,5,5,11
5,3,3,3,16
5,3,3,3,12
5,3,3,3,12
5,3,3,3,16
5,5,3,3,15
5,5,3,3,13
5,5,3,3,12
5,5,3,3,11
5,5,3,3,11
5,5,3,3,12
5,5,3,3,13
5,5,3,3,15
4,3,5,3,15
4,3,5,3,15
4,3,5,5,13
4,3,5,5,16
4,3,5,5,18
4,3,5,5,16
4,3,5,3,15
4,3,5,3,15
4,3,5,5,16
4,3,5,5,18
4,3,5,5,16
4,3,5,5,13
5,3,4,3,15
5,3,4,3,17
5,3,4,3,17
5,3,4,3,15
5,5,4,3,17
5,5,4,3,18
5,5,4,3,17
5,5,4,3,14
5,5,4,3,14
5,5,4,3,17
5,5,4,3,18
5,5,4,3,17
3,3,7,3,19
3,3,7,3,27
3,3,7,5,17
3,3,7,3,19
3,3,7,5,16
3,3,7,5,17
3,3,7,5,19
3,3,7,5,22
3,3,7,7,17
3,3,7,3,18
3,3,7,5,19
3,3,7,5,20
3,3,7,5,15
3,3,7,5,22
3,3,7,7,17
3,3,7,5,21
3,3,7,7,17
3,3,7,7,17
3,3,7,3,18
3,3,7,3,19
3,3,7,5,21
3,3,7,3,27
3,3,7,5,22
3,3,7,5,22
3,3,7,5,15
3,3,7,5,16
3,3,7,7,17
3,3,7,3,19
3,3,7,5,20
3,3,7,5,19
3,3,7,5,19
3,3,7,5,17
3,3,7,7,17
3,3,7,5,17
3,3,7,7,17
3,3,7,7,17
7,3,3,3,18
7,3,3,3,19
7,3,3,3,16
7,3,3,3,16
7,5,3,3,21
7,5,3,3,16
7,3,3,3,16
7,3,3,3,16
7,5,3,3,16
7,5,3,3,23
7,5,3,3,17
7,5,3,3,19
7,5,3,3,20
7,5,3,3,17
7,5,3,3,23
7,5,3,3,16
7,7,3,3,15
7,7,3,3,17
7,3,3,3,19
7,3,3,3,18
7,5,3,3,16
7,5,3,3,17
7,5,3,3,17
7,5,3,3,16
7,5,3,3,17
7,5,3,3,20
7,5,3,3,19
7,5,3,3,17
7,7,3,3,16
7,7,3,3,15
7,5,3,3,16
7,5,3,3,21
7,7,3,3,15
7,7,3,3,16
7,7,3,3,17
7,7,3,3,15
3,3,8,5,21
3,3,8,5,19
3,3,8,5,19
3,3,8,5,17
3,3,8,7,19
3,3,8,5,17
3,3,8,5,20
3,3,8,5,22
3,3,8,5,22
3,3,8,5,19
3,3,8,5,22
3,3,8,5,20
3,3,8,5,19
3,3,8,7,19
3,3,8,7,23
3,3,8,7,19
3,3,8,5,22
3,3,8,5,20
3,3,8,5,22
3,3,8,5,20
3,3,8,7,19
3,3,8,5,22
3,3,8,5,17
3,3,8,5,19
3,3,8,5,21
3,3,8,5,19
3,3,8,5,17
3,3,8,5,19
3,3,8,5,19
3,3,8,7,23
3,3,8,7,19
